amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba	order-item-id	is-prime
407-0170211-7842766	407-0170211-7842766	2026-09-04T08:25:08+00:00	2026-09-06T07:06:09+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche must-quit-o insta Ayurvedic Mosquito Repellent Vaporizer Liquid | Eco Friendly, Non Toxic Organic Mosqutio Repellent Vaporizer Refill 45 ML (Pa	Pack of 6-FBA	B084BXXLSQ		Shipped	1	INR	360.0		40.0					40.0	BENGALURU	KARNATAKA	560096	IN		false				false	67327257575162	false
407-6775769-9929139		2026-09-04T05:10:11+00:00	2026-09-08T10:49:13+00:00	Cancelled	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natural Fragrance | Indoor & Outdoor Use	8908006802319	B0D7MXTFB1	1		0	INR	223.81	11.19							Aizawl	MIZORAM	796005	IN		false			Easy Ship	false	67319887013082	true
S02-6567451-4978148	Xq944bj508	2026-09-04T04:11:24+00:00	2026-09-07T03:09:27+00:00	Shipped	Amazon	Non-Amazon		Standard	-	catche insta mosquito vapouriser	B08KXSSKSV		Unshipped	25										Chennai	Tamil Nadu	600056	IN		false				false	0	false
402-5961714-1496341	402-5961714-1496341	2026-09-04T03:40:06+00:00	2026-09-05T22:15:56+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0					40.0	MUMBAI	MAHARASHTRA	400001	IN		false				false	67302142692282	false
406-4411920-5714704		2026-09-03T19:10:47+00:00	2026-09-07T18:36:50+00:00	Cancelled	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Must-Quit-O Ayurvedic Mosquito Tra-Pe-Ll-Ent Combo (Machine + Refill), Clear White	Catche-MosquitoTrappellent-Comb0-FBM	B07GQWYRFZ	1		0	INR	351.69	63.31							HYDERABAD	TELANGANA	500084	IN		false			Easy Ship	false	67292017377602	true
171-9292000-4822729	171-9292000-4822729	2026-09-03T18:54:57+00:00	2026-09-06T07:17:29+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0								Nabadwip	WEST BENGAL	741316	IN		false				false	67292852990242	false
408-0408977-6444319		2026-09-03T18:06:21+00:00	2026-09-05T18:37:23+00:00	Cancelled	Merchant	Amazon.in	WebsiteOrderChannel	SecondDay	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natural Fragrance | Indoor & Outdoor Use	8908006802319	B0D7MXTFB1	1		0	INR	223.81	11.19							Bengaluru	KARNATAKA	560029	IN		false			Easy Ship	false	67291629103002	true
405-5655707-7283512	405-5655707-7283512	2026-09-03T17:44:00+00:00	2026-09-07T02:36:20+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0								MANGALURU	KARNATAKA	575003	IN		false				false	67290040686362	false
407-7496090-2233158	407-7496090-2233158	2026-09-03T16:46:15+00:00	2026-09-07T10:56:10+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0		40.0					40.0	JAMSHEDPUR	JHARKHAND	832110	IN		false				false	67288952677722	false
402-6873672-8413145		2026-09-03T16:35:51+00:00	2026-09-07T18:52:21+00:00	Cancelled	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natural Fragrance | Indoor & Outdoor Use	MT_INCENSE_STICKS	B0D7MXTFB1	1		0	INR	199.15	35.85							SAWANTWADI	MAHARASHTRA	416510	IN		false			Easy Ship	false	67289105044802	true
